Answer,1,2,3,4,5,6,7,Wins,Game Count,Average Guesses
trade,0,1,9,32,30,18,10,90,100,4.8500000000000005
limit,0,0,14,45,28,11,2,98,100,4.42
ninja,0,1,8,22,38,24,7,93,100,4.970000000000001
glaze,0,1,9,18,26,26,20,80,100,5.27
leash,0,3,14,47,33,3,0,100,100,4.1899999999999995
actor,0,0,19,37,40,4,0,100,100,4.29
meant,0,0,11,35,38,16,0,100,100,4.59
green,0,1,16,30,27,20,6,94,100,4.67
sassy,0,0,6,17,23,20,34,66,100,5.59
sight,0,2,12,33,32,11,10,90,100,4.680000000000001
trust,1,2,7,23,37,22,8,92,100,4.91
tardy,0,1,8,26,25,13,27,73,100,5.22
think,0,0,9,36,40,12,3,97,100,4.64
queue,0,0,5,22,39,28,6,94,100,5.08
candy,0,1,3,27,23,25,21,79,100,5.31
piano,0,0,9,48,33,9,1,99,100,4.45
pixel,0,1,11,29,31,21,7,93,100,4.8100000000000005
queen,0,2,7,32,43,16,0,100,100,4.64
throw,0,1,10,45,34,10,0,100,100,4.42
guide,0,1,8,42,34,13,2,98,100,4.56
solid,0,2,19,36,34,7,2,98,100,4.31
tawny,0,1,7,29,36,18,9,91,100,4.8999999999999995
scope,0,2,8,29,31,25,5,95,100,4.84
sushi,0,2,21,34,33,9,1,99,100,4.290000000000001
resin,0,4,13,31,32,17,3,97,100,4.54
taken,0,0,6,26,35,26,7,93,100,5.02
genre,0,2,15,40,30,9,4,96,100,4.41
adapt,0,0,17,44,28,9,2,98,100,4.35
worst,0,1,15,34,41,9,0,100,100,4.42
young,0,0,17,40,27,16,0,100,100,4.42
woman,0,1,6,31,40,15,7,93,100,4.83
sleep,0,1,11,25,46,12,5,95,100,4.72
sharp,1,0,13,25,27,23,11,89,100,4.9
shift,0,1,12,28,46,12,1,99,100,4.59
chain,0,1,19,30,37,11,2,98,100,4.4399999999999995
house,0,3,10,22,23,17,25,75,100,5.16
these,0,1,10,45,34,10,0,100,100,4.42
spent,0,0,8,21,33,25,13,87,100,5.140000000000001
would,0,0,6,23,40,19,12,88,100,5.08
topic,0,0,8,35,32,19,6,94,100,4.8
globe,0,1,8,31,29,16,15,85,100,4.96
bacon,0,1,15,30,34,12,8,92,100,4.65
funny,0,1,3,12,22,21,41,59,100,5.82
table,0,0,10,18,39,20,13,87,100,5.08
small,0,2,9,23,33,21,12,88,100,4.9799999999999995
built,0,2,12,35,31,16,4,96,100,4.59
touch,0,1,6,43,34,14,2,98,100,4.6
slope,0,1,13,29,34,19,4,96,100,4.6899999999999995
grace,0,0,6,19,40,16,19,81,100,5.23
evoke,0,2,6,38,29,22,3,97,100,4.72
phone,0,1,4,33,41,19,2,98,100,4.789999999999999
daisy,0,0,13,36,32,12,7,93,100,4.640000000000001
learn,0,1,20,22,33,21,3,97,100,4.62
child,0,1,15,37,26,16,5,95,100,4.56
three,0,0,9,51,32,8,0,100,100,4.390000000000001
salty,0,1,12,37,33,12,5,95,100,4.579999999999999
mural,0,0,11,25,24,17,23,77,100,5.16
aging,0,1,2,19,20,16,42,58,100,5.74
twirl,0,0,15,46,29,9,1,99,100,4.3500000000000005
scant,0,1,15,26,36,15,7,93,100,4.7
lunge,0,1,10,35,32,16,6,94,100,4.7
cable,0,0,14,25,26,14,21,79,100,5.029999999999999
stony,0,0,17,22,29,17,15,85,100,4.91
final,0,2,9,25,36,23,5,95,100,4.84
liner,0,1,5,18,16,22,38,62,100,5.67
threw,0,3,15,33,37,12,0,100,100,4.4
brief,0,2,10,30,30,27,1,99,100,4.73
route,0,2,14,29,34,14,7,93,100,4.65
heard,0,0,10,44,26,16,4,96,100,4.6000000000000005
doing,0,0,12,28,32,18,10,90,100,4.86
lunch,0,1,13,36,26,13,11,89,100,4.700000000000001
blond,0,1,14,41,32,12,0,100,100,4.4
court,0,5,17,29,27,19,3,97,100,4.47
stole,0,0,10,23,35,17,15,85,100,5.04
thing,0,1,8,24,47,17,3,97,100,4.8
large,0,2,14,26,30,12,16,84,100,4.84
north,0,0,23,29,33,12,3,97,100,4.43
tweak,0,0,15,48,32,5,0,100,100,4.2700000000000005
still,0,1,6,26,27,25,15,85,100,5.14
relic,0,2,10,28,26,21,13,87,100,4.93
block,0,0,10,28,46,14,2,98,100,4.699999999999999
aloof,0,2,10,34,36,16,2,98,100,4.6
snake,0,0,5,37,30,15,13,87,100,4.94
ember,1,0,17,26,27,18,11,89,100,4.76
leggy,0,0,7,24,33,25,11,89,100,5.09
expel,0,1,12,29,37,21,0,100,100,4.65
bulky,0,0,5,22,40,16,17,83,100,5.18
alive,0,1,7,33,30,23,6,94,100,4.85
cleft,0,2,6,30,42,18,2,98,100,4.739999999999999
micro,0,1,13,49,34,3,0,100,100,4.25
verge,0,0,7,19,36,29,9,91,100,5.14
repel,0,1,16,29,32,9,13,87,100,4.71
which,0,0,12,26,38,20,4,96,100,4.78
after,0,3,10,27,22,23,15,85,100,4.97
place,0,0,8,31,34,20,7,93,100,4.87
stiff,0,1,10,14,22,34,19,81,100,5.3500000000000005
fried,0,1,12,22,23,22,20,80,100,5.130000000000001
never,0,0,8,30,27,23,12,88,100,5.01
pasta,0,0,15,31,37,10,7,93,100,4.63
scram,0,1,8,28,20,14,29,71,100,5.25
talon,0,1,11,26,36,18,8,92,100,4.83
ascot,0,0,20,47,28,4,1,99,100,4.19
stash,0,2,13,25,24,21,15,85,100,4.9399999999999995
psalm,0,2,18,51,26,3,0,100,100,4.1
ridge,0,0,12,40,30,10,8,92,100,4.619999999999999
price,0,1,12,23,29,21,14,86,100,4.99
match,0,0,3,27,27,14,29,71,100,5.390000000000001
build,0,1,9,46,32,11,1,99,100,4.46
heavy,0,1,10,21,38,25,5,95,100,4.909999999999999
apart,0,1,20,34,29,11,5,95,100,4.4399999999999995
piper,0,1,5,11,30,11,42,58,100,5.71
smith,0,1,15,40,35,8,1,99,100,4.370000000000001
often,0,2,14,44,29,11,0,100,100,4.33
sense,0,0,8,29,31,17,15,85,100,5.0200000000000005
devil,0,2,17,35,31,13,2,98,100,4.42
image,0,2,12,44,33,9,0,100,100,4.35
forty,0,2,6,20,27,25,20,80,100,5.27
urban,0,1,13,47,25,12,2,98,100,4.3999999999999995
state,0,1,9,18,17,21,34,66,100,5.5
flame,0,0,4,19,39,22,16,84,100,5.2700000000000005
hunch,0,0,6,19,27,29,19,81,100,5.36
teary,0,1,16,34,30,13,6,94,100,4.5600000000000005
clone,0,1,7,28,33,15,16,84,100,5.02
early,0,0,14,39,31,13,3,97,100,4.5200000000000005
cheer,0,1,9,28,28,21,13,87,100,4.98
grasp,0,0,10,45,35,9,1,99,100,4.460000000000001
pesky,0,0,16,45,30,9,0,100,100,4.32
heave,0,3,8,27,32,25,5,95,100,4.83
local,0,1,11,19,35,17,17,83,100,5.07
since,0,2,18,33,29,14,4,96,100,4.470000000000001
erupt,0,2,13,42,38,5,0,100,100,4.31
toxin,0,0,9,40,33,12,6,94,100,4.66
snort,0,2,15,30,32,17,4,96,100,4.590000000000001
spelt,0,2,17,24,25,25,7,93,100,4.75
abide,1,1,13,20,31,25,9,91,100,4.9
lingo,0,2,10,36,26,18,8,92,100,4.720000000000001
shade,0,1,8,18,32,13,28,72,100,5.32
decay,0,0,8,27,34,22,9,91,100,4.97
risen,0,3,18,42,26,10,1,99,100,4.25
towel,0,0,2,33,34,26,5,95,100,4.99
sally,0,4,17,17,23,18,21,79,100,4.97
mayor,0,1,14,36,24,15,10,90,100,4.68
stung,0,3,10,26,35,19,7,93,100,4.78
